n_data,K,n_procs,mode,serial_total,serial_komp,paralel_total,paralel_komp,speedup_total,speedup_komp,eff_total,eff_komp
25000,5,2,both,0.021926085154215496,0.021926085154215496,0.024385531743367512,0.024385531743367512,0.8991432044609424,,,
50000,5,2,both,0.051959991455078125,0.051959991455078125,0.05059385299682617,0.05059385299682617,1.0270020640321198,,,
75000,5,2,both,0.10173932711283366,0.10173932711283366,0.08906388282775879,0.08906388282775879,1.1423185682302668,,,
100000,5,2,both,0.1237777868906657,0.1237777868906657,0.11398649215698242,0.11398649215698242,1.085898728423002,,,
1000,5,4,both,0.0024058024088541665,0.0024058024088541665,0.005405505498250325,0.005405505498250325,0.4450652042871635,,,
5000,5,4,both,0.004696369171142578,0.004696369171142578,0.006021896998087565,0.006021896998087565,0.779882016021538,,,
10000,5,4,both,0.009565989176432291,0.009565989176432291,0.005933523178100586,0.005933523178100586,1.6121937825638553,,,
25000,5,4,both,0.02161749203999837,0.02161749203999837,0.013068278630574545,0.013068278630574545,1.654195831838333,,,
50000,5,4,both,0.06181645393371582,0.06181645393371582,0.036325931549072266,0.036325931549072266,1.7017169635473413,,,
75000,5,4,both,0.0932463804880778,0.0932463804880778,0.06091229120890299,0.06091229120890299,1.5308302911851202,,,
100000,5,4,both,0.12367788950602214,0.12367788950602214,0.08001097043355306,0.08001097043355306,1.5457616478821898,,,
1000,5,6,both,0.0023534297943115234,0.0023534297943115234,0.006041924158732097,0.006041924158732097,0.38951660637948043,,,
5000,5,6,both,0.004667202631632487,0.004667202631632487,0.006139993667602539,0.006139993667602539,0.7601315057145447,,,
10000,5,6,both,0.009168545405069986,0.009168545405069986,0.005471467971801758,0.005471467971801758,1.67570119249931,,,
25000,5,6,both,0.02215433120727539,0.02215433120727539,0.010585705439249674,0.010585705439249674,2.092853549951576,,,
50000,5,6,both,0.05393489201863607,0.05393489201863607,0.030904610951741535,0.030904610951741535,1.7452053385450153,,,
75000,5,6,both,0.09271240234375,0.09271240234375,0.04960131645202637,0.04960131645202637,1.8691520502972943,,,
100000,5,6,both,0.12273446718851726,0.12273446718851726,0.06783191363016765,0.06783191363016765,1.809391193910416,,,
1000,5,8,both,0.0025058587392171225,0.0025058587392171225,0.010362466176350912,0.010362466176350912,0.2418206917708413,,,
5000,5,8,both,0.004905303319295247,0.004905303319295247,0.009785334269205729,0.009785334269205729,0.5012913390942759,,,
10000,5,8,both,0.009999593098958334,0.009999593098958334,0.006959199905395508,0.006959199905395508,1.4368883255107519,,,
25000,5,8,both,0.024094422658284504,0.024094422658284504,0.010359684626261393,0.010359684626261393,2.3257872732154503,,,
